"Well","ExptType","Experiment","Sample","TargetType","Target","Status","Concentration","Supermix","CopiesPer20uLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Positives","Negatives","Ch1+Ch2+","Ch1+Ch2-","Ch1-Ch2+","Ch1-Ch2-","Linkage","AcceptedDroplets","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","FractionalAbundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","ReferenceAssayNumber","TargetAssayNumber","Threshold","MeanAmplitudeofPositives","MeanAmplitudeofNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfMax68","TotalConfMin68","PoissonConfMax68","PoissonConfMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68"
"B05","Rare Event Detection","RED","26TM241222I","Ch1Unknown","N1","Manual",1.6,"One-Step RT-ddPCR Kit for Probes",32,,,2.3,1.3,24,17871,0,24,2,17869,0,17895,,,,,,,,12,,,31,0,92,,,104,81,1,1,5507,7541.3,1828.3,1836,"Rare Event Detection Experiment",,,,1.9,0,,,,,,,21,3,,,98,"87,"
"B06","Rare Event Detection","RED","26TM241222I","Ch1Unknown","N1","Manual",2,"One-Step RT-ddPCR Kit for Probes",40,,,2.8,1.7,31,18194,0,31,3,18191,0,18225,,,,,,,,10,,,23,0,91,,,101,81,1,1,5507,7468.6,1872.8,1882.4,"Rare Event Detection Experiment",,,,2.4,0,,,,,,,17,4,,,96,"86,"
"B08","Rare Event Detection","RED","NEG","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.2,0,0,17897,0,0,0,17897,0,17897,,,,,,,,,,,,,,,,,,1,1,5507,0,1730.9,1730.9,"Rare Event Detection Experiment",,,,0.09,0,,,,,,,,,,,,","
"C01","Rare Event Detection","RED","26AA241220I","Ch1Unknown","N1","Manual",1.41,"One-Step RT-ddPCR Kit for Probes",28.2,,,2.11,1.13,21,17477,0,21,4,17473,0,17498,,,,,,,,5,,,11,0,84,,,99,69,1,1,5507,7669.4,1838.1,1845.1,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,8.2,2.3,,,91,"77,"
"C02","Rare Event Detection","RED","26AA241220I","Ch1Unknown","N1","Manual",2,"One-Step RT-ddPCR Kit for Probes",40,,,2.8,1.7,32,18722,0,32,8,18714,0,18754,,,,,,,,4,,,7.2,0.8,80,,,93,67,1,1,5507,7662.2,1849.6,1859.5,"Rare Event Detection Experiment",,,,2.4,0,,,,,,,5.6,2.4,,,86,"74,"
"C03","Rare Event Detection","RED","26AA241220I","Ch1Unknown","N1","Manual",1.7,"One-Step RT-ddPCR Kit for Probes",34,,,2.4,1.4,28,19468,0,28,6,19462,0,19496,,,,,,,,4.7,,,8.9,0.4,82,,,96,69,1,1,5507,7687.3,1854.8,1863.2,"Rare Event Detection Experiment",,,,2,0,,,,,,,6.8,2.5,,,89,"76,"
"C04","Rare Event Detection","RED","26TM241223I","Ch1Unknown","N1","Manual",3.4,"One-Step RT-ddPCR Kit for Probes",68,,,4.4,3,53,18239,1,52,4,18235,0.0636,18292,,,,,,,,11,,,21,1,91,,,99,84,1,1,5507,7652.6,1862.7,1879.4,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,16,6,,,95.1,"87.7,"
"C05","Rare Event Detection","RED","26TM241223I","Ch1Unknown","N1","Manual",3.9,"One-Step RT-ddPCR Kit for Probes",78,,,5,3.5,62,18480,2,60,3,18477,0.126,18542,,,,,,,,12,,,24,1,93,,,99,86,1,1,5507,7588.7,1862,1881.2,"Rare Event Detection Experiment",,,,4.5,0,,,,,,,18,7,,,95.8,"89.3,"
"C06","Rare Event Detection","RED","26TM241223I","Ch1Unknown","N1","Manual",3.6,"One-Step RT-ddPCR Kit for Probes",72,,,4.7,3.1,52,17000,0,52,2,16998,0,17052,,,,,,,,26,,,66,0,96,,,102,91,1,1,5507,7452.5,1907.1,1924,"Rare Event Detection Experiment",,,,4.1,0,,,,,,,46,6,,,99,"93.6,"
"C08","Rare Event Detection","RED","NEG","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.19,0,0,18791,0,0,0,18791,0,18791,,,,,,,,,,,,,,,,,,1,1,5507,0,1740.8,1740.8,"Rare Event Detection Experiment",,,,0.086,0,,,,,,,,,,,,","
"D01","Rare Event Detection","RED","26AA241221I","Ch1Unknown","N1","Manual",1.06,"One-Step RT-ddPCR Kit for Probes",21.2,,,1.67,0.82,16,17763,0,16,1,17762,0,17779,,,,,,,,16,,,55,0,94,,,108,81,1,1,5507,7633.7,1877.5,1882.7,"Rare Event Detection Experiment",,,,1.3,0,,,,,,,34,0,,,100,"88,"
"D02","Rare Event Detection","RED","26AA241221I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,,,2.5,1.5,28,18587,0,28,3,18584,0,18615,,,,,,,,9,,,21,0,90,,,101,79,1,1,5507,7452.6,1859.6,1868,"Rare Event Detection Experiment",,,,2.1,0,,,,,,,15,3,,,96,"85,"
"D03","Rare Event Detection","RED","26AA241221I","Ch1Unknown","N1","Manual",1.8,"One-Step RT-ddPCR Kit for Probes",36,,,2.6,1.5,28,18023,0,28,1,18022,0,18051,,,,,,,,28,,,95,0,97,,,105,89,1,1,5507,7700.3,1868,1877.1,"Rare Event Detection Experiment",,,,2.2,0,,,,,,,60,0,,,100.3,"92.8,"
"D04","Rare Event Detection","RED","26YC241221I","Ch1Unknown","N1","Manual",0.44,"One-Step RT-ddPCR Kit for Probes",8.8,,,0.86,0.29,7,18645,1,6,7,18638,0.0629,18652,,,,,,,,0.9,,,1.8,0,47,,,73,21,1,1,5507,7196.2,1790.4,1792.5,"Rare Event Detection Experiment",,,,0.63,0,,,,,,,1.33,0.42,,,60,"34,"
"D05","Rare Event Detection","RED","26YC241221I","Ch1Unknown","N1","Manual",1.11,"One-Step RT-ddPCR Kit for Probes",22.2,,,1.72,0.86,17,18064,0,17,19,18045,0,18081,,,,,,,,0.9,,,1.5,0.3,47,,,64,31,1,1,5507,7202.2,1801.2,1806.3,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,1.19,0.6,,,56,"39,"
"D06","Rare Event Detection","RED","26YC241221I","Ch1Unknown","N1","Manual",0.87,"One-Step RT-ddPCR Kit for Probes",17.4,,,1.41,0.65,14,19008,0,14,10,18998,0,19022,,,,,,,,1.4,,,2.6,0.2,58,,,78,38,1,1,5507,7054.9,1729.4,1733.3,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,2,0.8,,,68,"48,"
"D07","Rare Event Detection","RED","EXT","Ch1Negative Control","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.2,0,0,17776,0,0,0,17776,0,17776,,,,,,,,,,,,,,,,,,1,1,5507,0,1722.9,1722.9,"Rare Event Detection Experiment",,,,0.091,0,,,,,,,,,,,,","
"D08","Rare Event Detection","RED","NTC","Ch1NTC","N1","Manual",0,"One-Step RT-ddPCR Kit for Probes",0,,,0.19,0,0,18696,0,0,0,18696,0,18696,,,,,,,,,,,,,,,,,,1,1,5507,0,1765.4,1765.4,"Rare Event Detection Experiment",,,,0.086,0,,,,,,,,,,,,","
